"","lambda1","lambda2","MCP","grMCP"
"1",0.0416848648311941,0.126191468896039,0.120721310787588,0.15
"2",0.0416848648311941,0.0796214341106995,0.0868813977997463,0.15
"3",0.0416848648311941,0.0796214341106995,0.120721310787588,0.15
"4",0.0416848648311941,0.126191468896039,0.0868813977997463,0.15
"5",0.0416848648311941,0.126191468896039,0.120721310787588,0.15
"6",0.0804808738583918,0.0796214341106995,0.120721310787588,0.0776921201884682
"7",0.0416848648311941,0.126191468896039,0.0868813977997463,0.15
"8",0.0416848648311941,0.2,0.0868813977997463,0.15
"9",0.03,0.2,0.120721310787588,0.0559139058047241
"10",0.03,0.2,0.0868813977997463,0.15
"11",0.0416848648311941,0.0796214341106995,0.120721310787588,0.15
"12",0.0416848648311941,0.126191468896039,0.0868813977997463,0.107952850950173
"13",0.0416848648311941,0.2,0.0625272972467912,0.15
"14",0.03,0.126191468896039,0.120721310787588,0.15
"15",0.03,0.2,0.120721310787588,0.15
"16",0.03,0.126191468896039,0.0868813977997463,0.0776921201884682
"17",0.0416848648311941,0.2,0.120721310787588,0.15
"18",0.0416848648311941,0.0796214341106995,0.120721310787588,0.15
"19",0.03,0.126191468896039,0.120721310787588,0.15
"20",0.03,0.126191468896039,0.0868813977997463,0.15
